Last Name,First Name,"Over the past 25 years, the income of the median European citizen has declined substantially relative to the income of the median American citizen.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,The living standards of the median European are not substantially lower than those of the median American.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Prendergast,Canice,Agree,4,,Disagree,2,
Propper,Carol,Disagree,6,Median is different to mean. US median income stagnated post GFC until around 2018 then rose post COVID. Former communist bloc EU countries median income grew considerably during the last 25 years.,Agree,5,
Rasul,Imran,Agree,7,,Disagree,6,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Strongly Agree,9,This is a fact. It is iInteresting to discuss whether different definitions of income for comparison purposes make the gap more or less substantial. But a fall is still a fall.,Strongly Disagree,9,Statistics do not lie.
Repullo,Rafael,Agree,4,,Uncertain,4,
Schoar,Antoinette,Agree,7,,Uncertain,8,
Storesletten,Kjetil,Disagree,7,"Median income growth has been roughly equal in the US and Europe since 2000, although there is large heterogeneity. Income growth has been higher in Eastern Europe and lower in Germany",Disagree,8,"Median disposable income is roughly twice as large in the US. But certain  government services such as health care are still better in Europe. On balance, living standards for the median household are better in the US"
Strömberg,Per,Disagree,7,"PPP-adjusted disposable income gap between EU and US is approximately the same today (~35% lower income in EU comp to US) as in the early 2000s.  Differs across countries, though. E.g. has increased w Germany, Italy and Greece; decreased w Sweden, Romania, Poland,... ",Uncertain,5,"PPP-adjusted disposable income in EU is clearly lower, but accounting for dree healthcare, free or highly subsidized higher education, and more leisure time, I would say that median quality of living is higher in EU comp to US. "
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,
Tenreyro,Silvana,Uncertain,1,European median incomes appear to have declined when expressed in USD. But the picture is less clear when doing PPP adjustments. Much more work is needed to agree on this basic indicator.,Agree,3,"Going beyond real incomes, Europe seems to perform better when it comes to other indicators relevant for wellbeing, including health (e.g., life expectancy), violence (e.g. homicide or overdose death rates), etc."
Van der Ploeg,Rick,Agree,5,,Agree,7,Less income but better place to live for low incomes.
Vickers,John,Agree,4,,Uncertain,4,
Voth,Hans-Joachim,Disagree,7,,Agree,8,
Wyplosz,Charles,Strongly Agree,8,If measured as per capita GDP PPP adjusted,Agree,8,"If measured in real domestic terms and taking into account life quality (leisure, life expectancy, health services, etc.)"
